Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2881    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\core.py:71(<lambda>)
        6    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:2081(_raw_ticks)
      196    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:637(set_data)
     43/6    0.000    0.000    0.101    0.017 <frozen importlib._bootstrap>:1022(_find_and_load)
       74    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:677(__init__)
     2800    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\copy.py:182(_deepcopy_atomic)
    57/30    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:211(__new__)
      309    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
      380    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\contextlib.py:279(helper)
  380/363    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\contextlib.py:130(__enter__)
      664    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\multipledispatch\conflict.py:7(supercedes)
      123    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\enum.py:89(__setitem__)
        1    0.000    0.000    0.030    0.030 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:441(<lambda>)
   873/11    0.000    0.000    0.008    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\assumptions.py:477(getit)
       46    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:727(__init__)
      443    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       23    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:25(_move_from_center)
      201    0.000    0.000    0.007    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1190(set)
